,DraftYear,Player,College.Univ,Pos,Height.inches,Weight,Wonderlic,Forty.Yard.Dash,Bench.225.Reps,Vert.Leap.inches,Broad.Jump.inches,Shuttle,X3Cone,Forty.Timed.Outside.Combine,Bench.Pressed.Weight,Benched.to.Weight,Player.Height,Player.Vertical,Player.Broad.Jump
269,2000,Antonio Wilson,Texas A&M-Commerce,OLB,74,245,NA,4.56,11,NA,NA,NA,NA,FALSE,2475,10.10204082,6.1666642,NA,NA
270,2005,Antrel Rolle,University of Miami,CB,72,198,NA,4.5,15,NA,NA,NA,NA,TRUE,3375,17.04545455,5.9999976,NA,NA
271,2005,Anttaj Hawthorne,Wisconsin,DT,76,325,NA,5.23,21,27,100,4.72,8,FALSE,4725,14.53846154,6.3333308,2.2499991,8.33333
272,1999,Antuan Edwards,Clemson,SS,73,210,NA,4.46,NA,38,123,3.96,6.89,FALSE,NA,NA,6.0833309,3.1666654,10.2499959
273,2002,Antwaan Randle El,Indiana,WR,70,191,17,4.49,NA,NA,NA,NA,NA,FALSE,NA,NA,5.833331,NA,NA
274,2007,Antwan Applewhite,San Diego State,DE,75,250,NA,4.73,25,35,115,4.36,7.5,FALSE,5625,22.5,6.2499975,2.9166655,9.5833295
275,2007,Antwan Barnes,Florida International,OLB,73,240,NA,4.43,31,35,122,4.32,7.29,FALSE,6975,29.0625,6.0833309,2.9166655,10.1666626
276,2000,Antwan Harris,Virginia,CB,69,186,NA,4.34,16,39,121,4.01,6.75,FALSE,3600,19.35483871,5.7499977,3.2499987,10.0833293
277,2002,Antwan Kirk-Hughes,University of Texas,OG,75,315,NA,5.43,NA,27,95,4.91,8.28,FALSE,NA,NA,6.2499975,2.2499991,7.9166635
278,2002,Antwan Lake,West Virginia,DE,76,286,NA,5.08,27,NA,NA,NA,NA,FALSE,6075,21.24125874,6.3333308,NA,NA
279,2004,Antwan Odom,Alabama,DE,78,274,NA,4.71,21,37,114,4.44,7.3,FALSE,4725,17.24452555,6.4999974,3.0833321,9.4999962
280,2003,Antwan Peek,Cincinnati,OLB,75,246,NA,4.65,21,37,125,4.35,7.07,FALSE,4725,19.20731707,6.2499975,3.0833321,10.4166625
281,2008,Antwaun Molden,Eastern Kentucky,CB,73,198,NA,4.39,23,37.5,129,4.14,6.85,FALSE,5175,26.13636364,6.0833309,3.12499875,10.7499957
282,2003,Antwoine Sanders,Utah,FS,74,202,NA,4.54,14,37.5,128,4.45,7.44,FALSE,3150,15.59405941,6.1666642,3.12499875,10.6666624
283,2012,Antwuan Reed,Pittsburgh,CB,0,188,NA,4.63,14,36,NA,4.2,NA,FALSE,3150,16.75531915,0,2.9999988,NA
284,2008,Aqib Talib,Kansas,CB,73,202,NA,4.44,10,38,131,4.25,6.82,FALSE,2250,11.13861386,6.0833309,3.1666654,10.9166623
285,2009,Arian Foster,Tennessee,RB,73,226,NA,4.68,23,NA,NA,NA,NA,TRUE,5175,22.89823009,6.0833309,NA,NA
286,2000,Aric Morris,Michigan State,SS,70,211,NA,4.56,24,NA,NA,NA,NA,TRUE,5400,25.59241706,5.833331,NA,NA
287,2005,Aric Williams,Oregon State,CB,73,187,NA,4.58,8,36,117,NA,NA,FALSE,1800,9.625668449,6.0833309,2.9999988,9.7499961
288,2008,Arman Shields,Richmond,WR,73,194,NA,4.37,19,37.5,128,3.96,6.67,FALSE,4275,22.03608247,6.0833309,3.12499875,10.6666624
289,2011,Armando Allen,Notre Dame,RB,68,199,NA,4.52,23,NA,NA,NA,NA,TRUE,5175,26.00502513,5.6666644,NA,NA
290,2011,Armon Binns,Cincinnati,WR,75,209,NA,4.5,13,31.5,118,4.31,6.86,FALSE,2925,13.99521531,6.2499975,2.62499895,9.8333294
291,1999,Armon Hatcher,Oregon State,SS,73,215,NA,4.58,NA,36,122,4.2,7.23,FALSE,NA,NA,6.0833309,2.9999988,10.1666626
292,2013,Armonty Bryant,East Central University,DE,76,263,NA,4.86,NA,31.5,118,5,7.32,TRUE,NA,NA,6.3333308,2.62499895,9.8333294
293,2003,Arnaz Battle,Notre Dame,WR,73,217,NA,4.58,NA,35,117,4.06,6.74,FALSE,NA,NA,6.0833309,2.9166655,9.7499961
294,1999,Arnold Miller,Louisiana State University,DE,76,240,NA,4.77,12,33.5,120,4.12,7.01,FALSE,2700,11.25,6.3333308,2.79166555,9.999996
