CombineYear,DraftYear,Player,Position,DBPediaCollege_Name,DBPediaURI_College,Conference,Division,gradeNFL,Height.numeric,Weight,fortyYardDash,benchPress,verticalJump,broadJump,twentyYardShuttle,threeConeDrill,Wonderlic
1999,1999,Todd Frohbieter,OT,Arkansas State University,http://live.dbpedia.org/resource/Arkansas_State_University,Sun Belt Conference,Division I,NA,6.4999974,323,5.28,20,27,100,4.51,7.98,NA
1999,1999,Brad Ware,FS,Auburn University,http://live.dbpedia.org/resource/Auburn_University,Southeastern Conference,Division I,NA,6.1666642,207,4.55,18,37,118,4.25,7.34,NA
1999,1999,Charles Dorsey,DT,Auburn University,http://live.dbpedia.org/resource/Auburn_University,Southeastern Conference,Division I,NA,6.1666642,283,4.93,24,31,112,4.52,7.48,NA
1999,1999,Karsten Bailey,WR,Auburn University,http://live.dbpedia.org/resource/Auburn_University,Southeastern Conference,Division I,NA,6.0833309,205,4.33,NA,40,121,3.99,6.99,NA
1999,1999,Jason Bray,CB,Auburn University,http://live.dbpedia.org/resource/Auburn_University,Southeastern Conference,Division I,NA,5.833331,185,4.49,NA,33,113,4.35,7.2,NA
1999,1999,DeMarcus Curry,OT,Auburn University,http://live.dbpedia.org/resource/Auburn_University,Southeastern Conference,Division I,NA,6.4166641,317,5.35,20,25.5,98,4.69,7.98,NA
1999,1999,Derrius Thompson,WR,Baylor University,http://live.dbpedia.org/resource/Baylor_University,Big 12 Conference,Division I,NA,6.1666642,211,4.59,NA,41.5,114,4.13,7.31,NA
1999,1999,Derrick Fletcher,OT,Baylor University,http://live.dbpedia.org/resource/Baylor_University,Big 12 Conference,Division I,NA,6.4999974,374,5.2,27,NA,NA,NA,NA,NA
1999,1999,Kelvin Garmon,OG,Baylor University,http://live.dbpedia.org/resource/Baylor_University,Big 12 Conference,Division I,NA,6.2499975,329,5.09,23,25,96,4.66,7.84,NA
1999,1999,Nikia Codie,FS,Baylor University,http://live.dbpedia.org/resource/Baylor_University,Big 12 Conference,Division I,NA,6.2499975,207,4.57,17,34,121,4.2,7.21,NA
1999,1999,John Jennings,TE,Belhaven University,http://live.dbpedia.org/resource/Belhaven_University,Southern States Athletic Conference,NAIA,NA,6.3333308,241,4.81,20,29,113,4.53,7.5,NA
1999,1999,Doug Brzezinski,OG,Boston College University,http://live.dbpedia.org/resource/Boston_College_University,Atlantic Coast Conference,Division I,NA,6.3333308,309,5.32,26,26,98,4.53,NA,NA
1999,1999,Damien Woody,C,Boston College University,http://live.dbpedia.org/resource/Boston_College_University,Atlantic Coast Conference,Division I,NA,6.2499975,328,5.14,26,28.5,100,4.99,8.21,NA
1999,1999,Mike Cloud,RB,Boston College University,http://live.dbpedia.org/resource/Boston_College_University,Atlantic Coast Conference,Division I,NA,5.9166643,200,4.56,17,38.5,117,4.16,6.8,NA
1999,1999,Dan Collins,OG,Boston College University,http://live.dbpedia.org/resource/Boston_College_University,Atlantic Coast Conference,Division I,NA,6.3333308,282,5.03,20,24,100,NA,NA,NA
1999,1999,Daren Yancey,DT,Brigham Young University,http://live.dbpedia.org/resource/Brigham_Young_University,I-A Independent,Division I,NA,6.4999974,303,5.13,NA,26.5,97,NA,NA,NA
1999,1999,Joe Wong,OT,Brigham Young University,http://live.dbpedia.org/resource/Brigham_Young_University,I-A Independent,Division I,NA,6.4999974,314,5.68,22,27,100,4.95,8.25,NA
1999,1999,Derik Stevenson,OLB,Brigham Young University,http://live.dbpedia.org/resource/Brigham_Young_University,I-A Independent,Division I,NA,6.3333308,235,4.89,14,31,113,4.3,7.81,NA
1999,1999,John Tait,OT,Brigham Young University,http://live.dbpedia.org/resource/Brigham_Young_University,I-A Independent,Division I,NA,6.4999974,310,5.24,26,29.5,107,4.4,7.48,NA
1999,1999,Steve Konopka,DT,Long Island University C. W. Post Campus,http://live.dbpedia.org/resource/Long_Island_University_C.W._Post_Campus,Pennsylvania State Athletic Conference,Division II,NA,6.3333308,298,5.14,21,27,106,4.55,7.9,NA
1999,1999,Jonathan McCall,DE,Central Michigan University,http://live.dbpedia.org/resource/Central_Michigan_University,Mid-American Conference,Division I,NA,6.1666642,273,4.91,19,31,113,4.38,7.41,NA
1999,1999,Kevin Homer,ILB,Chadron State College,http://live.dbpedia.org/resource/Chadron_State_College,Rocky Mountain Athletic Conference,Division II,NA,6.2499975,241,4.98,15,32.5,112,4.33,7.41,NA
1999,1999,Donald Broomfield,DT,Clemson University,http://live.dbpedia.org/resource/Clemson_University,Atlantic Coast Conference,Division I,NA,6.2499975,302,5.08,24,31,106,4.34,7.75,NA
1999,1999,Adrian Dingle,DE,Clemson University,http://live.dbpedia.org/resource/Clemson_University,Atlantic Coast Conference,Division I,NA,6.2499975,290,4.94,20,33,112,4.4,7.43,NA
1999,1999,Rahim Abdullah,OLB,Clemson University,http://live.dbpedia.org/resource/Clemson_University,Atlantic Coast Conference,Division I,NA,6.4166641,244,4.85,17,34,118,4.36,7.24,NA
1999,1999,Antuan Edwards,SS,Clemson University,http://live.dbpedia.org/resource/Clemson_University,Atlantic Coast Conference,Division I,NA,6.0833309,210,4.46,NA,38,123,3.96,6.89,NA
1999,1999,Chris Jones,OLB,Clemson University,http://live.dbpedia.org/resource/Clemson_University,Atlantic Coast Conference,Division I,NA,5.833331,228,4.72,21,NA,NA,4.48,7.64,NA
1999,1999,Corey Hulsey,OG,Clemson University,http://live.dbpedia.org/resource/Clemson_University,Atlantic Coast Conference,Division I,NA,6.4166641,367,5.73,31,25,96,4.89,8.21,NA
1999,1999,Jason Gamble,C,Clemson University,http://live.dbpedia.org/resource/Clemson_University,Atlantic Coast Conference,Division I,NA,6.1666642,302,5.18,24,28.5,105,4.54,7.84,NA
1999,1999,Myron Terry,FS,Colorado State University,http://live.dbpedia.org/resource/Colorado_State_University,Mountain West Conference,Division I,NA,6.1666642,203,4.72,21,35,117,4.16,7.2,NA
1999,1999,Mike Newell,C,Colorado State University,http://live.dbpedia.org/resource/Colorado_State_University,Mountain West Conference,Division I,NA,6.3333308,292,5.25,25,28.5,104,4.69,7.88,NA
1999,1999,Anthony Cesario,OG,Colorado State University,http://live.dbpedia.org/resource/Colorado_State_University,Mountain West Conference,Division I,NA,6.4999974,312,5.29,NA,26.5,103,NA,NA,NA
1999,1999,Joey Porter,OLB,Colorado State University,http://live.dbpedia.org/resource/Colorado_State_University,Mountain West Conference,Division I,NA,6.2499975,241,4.68,27,39,124,4.41,7.37,NA
1999,1999,Jason Craft,CB,Colorado State University,http://live.dbpedia.org/resource/Colorado_State_University,Mountain West Conference,Division I,NA,5.833331,178,4.52,14,37.5,113,4.2,6.97,NA
1999,1999,Damon Washington,RB,Colorado State University,http://live.dbpedia.org/resource/Colorado_State_University,Mountain West Conference,Division I,NA,5.9166643,200,4.53,18,37,114,4.07,7.28,NA
1999,1999,Darran Hall,WR,Colorado State University,http://live.dbpedia.org/resource/Colorado_State_University,Mountain West Conference,Division I,NA,5.7499977,168,4.45,NA,34,115,4.33,7.25,NA
1999,1999,Lennie Friedman,OG,Duke University,http://live.dbpedia.org/resource/Duke_University,Atlantic Coast Conference,Division I,NA,6.2499975,301,5.36,25,29,100,4.51,8.04,NA
1999,1999,Mondell Corbett,OG,East Carolina University,http://live.dbpedia.org/resource/East_Carolina_University,Big East Conference,Division I,NA,6.1666642,313,5.41,21,29,100,4.77,8.03,NA
1999,1999,Alphonso Collins,TE,East Carolina University,http://live.dbpedia.org/resource/East_Carolina_University,Big East Conference,Division I,NA,6.1666642,281,4.83,20,32.5,108,4.41,7.37,NA
1999,1999,Troy Smith,WR,East Carolina University,http://live.dbpedia.org/resource/East_Carolina_University,Big East Conference,Division I,NA,6.0833309,194,4.64,NA,35.5,113,4.24,7.25,NA
1999,1999,Rod Coleman,DE,East Carolina University,http://live.dbpedia.org/resource/East_Carolina_University,Big East Conference,Division I,NA,6.1666642,262,4.94,NA,32.5,111,4.57,8,NA
1999,1999,Brian Edwards,FB,East Tennessee State University,http://live.dbpedia.org/resource/East_Tennessee_State_University,Southern Athletic Conference,Division I-AA,NA,6.0833309,223,4.66,18,35.5,122,4.19,7.12,NA
1999,1999,Chris Watson,CB,Eastern Illinois University,http://live.dbpedia.org/resource/Eastern_Illinois_University,Ohio Valley Conference,Division I-AA,NA,6.0833309,191,4.34,18,37,124,3.86,6.8,NA
1999,1999,Justin Ernest,DT,Eastern Kentucky University,http://live.dbpedia.org/page/Eastern_Kentucky_University,Ohio Valley Conference,Division I-AA,NA,6.2499975,281,4.79,51,31,113,4.24,7.37,NA
1999,1999,Rondel Menendez,WR,Eastern Kentucky University,http://live.dbpedia.org/page/Eastern_Kentucky_University,Ohio Valley Conference,Division I-AA,NA,5.7499977,178,4.24,NA,37,117,3.96,6.79,NA
1999,1999,Tyrone Hopson,OG,Eastern Kentucky University,http://live.dbpedia.org/page/Eastern_Kentucky_University,Ohio Valley Conference,Division I-AA,NA,6.2499975,319,5.21,20,26,102,4.62,7.86,NA
1999,1999,L.J. Shelton,OT,Eastern Michigan University,http://live.dbpedia.org/resource/Eastern_Michigan_University,Mid-American Conference,Division I,NA,6.4999974,341,5.44,22,29.5,100,4.77,7.87,NA
1999,1999,Brian Shay,RB,Emporia State University,http://live.dbpedia.org/resource/Emporia_State_University,Mid-America Intercollegiate Athletics Association,Division II,NA,5.6666644,213,4.49,17,NA,NA,4.22,7.31,NA
1999,1999,Olrick Johnson,ILB,Florida A&M University,http://live.dbpedia.org/resource/Florida_A&M_University,Mid-Eastern Athletic Conference,Division I-AA,NA,6.0833309,246,4.97,27,29.5,103,4.24,7.73,NA
1999,1999,Larry Smith,DT,Florida State University,http://live.dbpedia.org/resource/Florida_State_University,Atlantic Coast Conference,Division I,NA,6.4166641,288,5.12,22,30,111,4.39,7.72,NA
1999,1999,Tony Bryant,DE,Florida State University,http://live.dbpedia.org/resource/Florida_State_University,Atlantic Coast Conference,Division I,NA,6.3333308,273,4.85,16,34.5,111,4.57,7.57,NA
1999,1999,Dexter Jackson,FS,Florida State University,http://live.dbpedia.org/resource/Florida_State_University,Atlantic Coast Conference,Division I,NA,6.0833309,196,4.61,16,36,117,4.06,6.96,NA
1999,1999,Peppi Zellner,DE,Fort Valley State University,http://live.dbpedia.org/resource/Fort_Valley_State_University,Southern Intercollegiate Athletic Conference,Division II,NA,6.4166641,246,4.72,20,35.5,122,4.49,7.4,NA
1999,1999,Cory Hall,FS,Fresno State University,"http://live.dbpedia.org/resource/California_State_University,_Fresno",Mountain West Conference,Division I,NA,6.0833309,202,4.54,17,36,123,4.29,7.18,NA
1999,1999,Jaime Kimbrough,RB,Fresno State University,"http://live.dbpedia.org/resource/California_State_University,_Fresno",Mountain West Conference,Division I,NA,5.6666644,198,4.71,22,34.5,113,4.32,7.4,NA
1999,1999,Josh Kobdish,OT,Fresno State University,"http://live.dbpedia.org/resource/California_State_University,_Fresno",Mountain West Conference,Division I,NA,6.4999974,301,5.43,21,24,98,4.83,7.98,NA
1999,1999,Orlando Ruff,ILB,Furman University,http://live.dbpedia.org/resource/Furman_University,Southern Athletic Conference,Division I-AA,NA,6.1666642,248,4.99,22,33,113,4.33,7.4,NA
1999,1999,Craig Page,C,Georgia Institute of Technology,http://live.dbpedia.org/resource/Georgia_Institute_of_Technology,Atlantic Coast Conference,Division I,NA,6.2499975,295,5.13,38,32,117,4.51,7.43,NA
1999,1999,Jesse Tarplin,DE,Georgia Institute of Technology,http://live.dbpedia.org/resource/Georgia_Institute_of_Technology,Atlantic Coast Conference,Division I,NA,6.1666642,251,4.88,16,32.5,108,4.41,7.37,NA
