player,season,season_name,salary,agency,agent,salary_amnesty,league,team,player_off_roster_13_14,id_contract_type
Nate Wolters,2014,2013-2014,500000,Allegiant Athletic Agency,Jared Karnes,FALSE,nba,Bucks,FALSE,G
Nate Wolters,2015,2014-2015,816482,Allegiant Athletic Agency,Jared Karnes,FALSE,nba,Bucks,FALSE,G
Nate Wolters,2016,2015-2016,947276,Allegiant Athletic Agency,Jared Karnes,FALSE,nba,Bucks,FALSE,U
Nate Wolters,2017,2016-2017,1215696,Allegiant Athletic Agency,Jared Karnes,FALSE,nba,Bucks,FALSE,QO
O.J. Mayo,2014,2013-2014,8000000,Landmark Sports Agency,Rob Pelinka,FALSE,nba,Bucks,FALSE,G
O.J. Mayo,2015,2014-2015,8000000,Landmark Sports Agency,Rob Pelinka,FALSE,nba,Bucks,FALSE,G
O.J. Mayo,2016,2015-2016,8000000,Landmark Sports Agency,Rob Pelinka,FALSE,nba,Bucks,FALSE,G
Zaza Pachulia,2014,2013-2014,5200000,Williams & Connolly,Jim Tanner,FALSE,nba,Bucks,FALSE,G
Zaza Pachulia,2015,2014-2015,5200000,Williams & Connolly,Jim Tanner,FALSE,nba,Bucks,FALSE,G
Zaza Pachulia,2016,2015-2016,5200000,Williams & Connolly,Jim Tanner,FALSE,nba,Bucks,FALSE,G
Carlos Boozer,2014,2013-2014,15300000,Landmark Sports Agency,Rob Pelinka,FALSE,nba,Bulls,FALSE,G
Carlos Boozer,2015,2014-2015,16800000,Landmark Sports Agency,Rob Pelinka,FALSE,nba,Bulls,FALSE,G
Derrick Rose,2014,2013-2014,17632688,Wasserman Media Group,Arn Tellem,FALSE,nba,Bulls,FALSE,G
Derrick Rose,2015,2014-2015,18862876,Wasserman Media Group,Arn Tellem,FALSE,nba,Bulls,FALSE,G
Derrick Rose,2016,2015-2016,20093064,Wasserman Media Group,Arn Tellem,FALSE,nba,Bulls,FALSE,G
Derrick Rose,2017,2016-2017,21323252,Wasserman Media Group,Arn Tellem,FALSE,nba,Bulls,FALSE,G
Erik Murphy,2014,2013-2014,490180,ASM Sports,Andy Miller,FALSE,nba,Bulls,FALSE,U
Erik Murphy,2015,2014-2015,816482,ASM Sports,Andy Miller,FALSE,nba,Bulls,FALSE,U
Erik Murphy,2016,2015-2016,1147276,ASM Sports,Andy Miller,FALSE,nba,Bulls,FALSE,QO
Jimmy Butler,2014,2013-2014,1112880,Relativity Sports,Dan Fegan,FALSE,nba,Bulls,FALSE,G
Jimmy Butler,2015,2014-2015,2008748,Relativity Sports,Dan Fegan,FALSE,nba,Bulls,FALSE,TO
Jimmy Butler,2016,2015-2016,3013123,Relativity Sports,Dan Fegan,FALSE,nba,Bulls,FALSE,QO
Joakim Noah,2014,2013-2014,11100000,BDA Sports Management,Bill Duffy,FALSE,nba,Bulls,FALSE,G
Joakim Noah,2015,2014-2015,12200000,BDA Sports Management,Bill Duffy,FALSE,nba,Bulls,FALSE,G
Joakim Noah,2016,2015-2016,13400000,BDA Sports Management,Bill Duffy,FALSE,nba,Bulls,FALSE,G
Kalin Lucas,2014,2013-2014,490180,Reid Entertainment,Michael Whitaker,FALSE,nba,Bulls,FALSE,U
Kalin Lucas,2015,2014-2015,1016482,Reid Entertainment,Michael Whitaker,FALSE,nba,Bulls,FALSE,QO
Kirk Hinrich,2014,2013-2014,4059000,Octagon Athlete Representation,Jeff Austin,FALSE,nba,Bulls,FALSE,G
Luol Deng,2014,2013-2014,14275000,Interperformances,Herb Rudoy,FALSE,nba,Bulls,FALSE,G
Marquis Teague,2014,2013-2014,1074720,ASM Sports,Andy Miller,FALSE,nba,Bulls,FALSE,G
Marquis Teague,2015,2014-2015,1120920,ASM Sports,Andy Miller,FALSE,nba,Bulls,FALSE,TO
Marquis Teague,2016,2015-2016,2023261,ASM Sports,Andy Miller,FALSE,nba,Bulls,FALSE,TO
Marquis Teague,2017,2016-2017,3034891,ASM Sports,Andy Miller,FALSE,nba,Bulls,FALSE,QO
Mike Dunleavy Jr,2014,2013-2014,3183000,Wasserman Media Group,Arn Tellem,FALSE,nba,Bulls,FALSE,G
Mike Dunleavy Jr,2015,2014-2015,3326235,Wasserman Media Group,Arn Tellem,FALSE,nba,Bulls,FALSE,G
Nazr Mohammed,2014,2013-2014,884293,Excel Sports Management,Mike Higgins,FALSE,nba,Bulls,FALSE,G
Patrick Christopher,2014,2013-2014,490180,Relativity Sports,Chris Patrick,FALSE,nba,Bulls,FALSE,U
Patrick Christopher,2015,2014-2015,1016482,Relativity Sports,Chris Patrick,FALSE,nba,Bulls,FALSE,QO
Richard Hamilton,2014,2013-2014,333334,Creative Artists Agency,Leon Rose,FALSE,nba,Bulls,TRUE,G
Richard Hamilton,2015,2014-2015,333334,Creative Artists Agency,Leon Rose,FALSE,nba,Bulls,TRUE,G
Richard Hamilton,2016,2015-2016,333334,Creative Artists Agency,Leon Rose,FALSE,nba,Bulls,TRUE,G
Taj Gibson,2014,2013-2014,7550000,Priority Sports & Entertainment,Mark Bartelstein,FALSE,nba,Bulls,FALSE,G
Taj Gibson,2015,2014-2015,8000000,Priority Sports & Entertainment,Mark Bartelstein,FALSE,nba,Bulls,FALSE,G
Taj Gibson,2016,2015-2016,8500000,Priority Sports & Entertainment,Mark Bartelstein,FALSE,nba,Bulls,FALSE,G
Taj Gibson,2017,2016-2017,8950000,Priority Sports & Entertainment,Mark Bartelstein,FALSE,nba,Bulls,FALSE,G
Tony Snell,2014,2013-2014,1409040,Lagardere Unlimited,Mitchell Butler,FALSE,nba,Bulls,FALSE,G
Tony Snell,2015,2014-2015,1472400,Lagardere Unlimited,Mitchell Butler,FALSE,nba,Bulls,FALSE,G
Tony Snell,2016,2015-2016,1535880,Lagardere Unlimited,Mitchell Butler,FALSE,nba,Bulls,FALSE,TO
Tony Snell,2017,2016-2017,2368327,Lagardere Unlimited,Mitchell Butler,FALSE,nba,Bulls,FALSE,TO
Tony Snell,2018,2017-2018,3393813,Lagardere Unlimited,Mitchell Butler,FALSE,nba,Bulls,FALSE,QO
Alonzo Gee,2014,2013-2014,3250000,Relativity Sports,Happy Walters,FALSE,nba,Cavaliers,FALSE,G
Alonzo Gee,2015,2014-2015,3000000,Relativity Sports,Happy Walters,FALSE,nba,Cavaliers,FALSE,U
Anderson Varejao,2014,2013-2014,9036364,Relativity Sports,Dan Fegan,FALSE,nba,Cavaliers,FALSE,G
Anderson Varejao,2015,2014-2015,9704545,Relativity Sports,Dan Fegan,FALSE,nba,Cavaliers,FALSE,U
Andrew Bynum,2014,2013-2014,12250000,David Lee Services,David Lee,FALSE,nba,Cavaliers,FALSE,U
Andrew Bynum,2015,2014-2015,12540000,David Lee Services,David Lee,FALSE,nba,Cavaliers,FALSE,U
Anthony Bennett,2014,2013-2014,5324280,Excel Sports Management,Jeff Schwartz,FALSE,nba,Cavaliers,FALSE,G
Anthony Bennett,2015,2014-2015,5563920,Excel Sports Management,Jeff Schwartz,FALSE,nba,Cavaliers,FALSE,G
Anthony Bennett,2016,2015-2016,5803560,Excel Sports Management,Jeff Schwartz,FALSE,nba,Cavaliers,FALSE,TO
Anthony Bennett,2017,2016-2017,7318289,Excel Sports Management,Jeff Schwartz,FALSE,nba,Cavaliers,FALSE,TO
Anthony Bennett,2018,2017-2018,9513776,Excel Sports Management,Jeff Schwartz,FALSE,nba,Cavaliers,FALSE,QO
C.J. Miles,2014,2013-2014,2225000,Independent,Billy Ceisler,FALSE,nba,Cavaliers,FALSE,G
Carrick Felix,2014,2013-2014,510000,Stratosphere Sports,Todd Eley,FALSE,nba,Cavaliers,FALSE,G
Carrick Felix,2015,2014-2015,816482,Stratosphere Sports,Todd Eley,FALSE,nba,Cavaliers,FALSE,U
